sample_id,domain,question,ground_truth_answer,retrieved_context,llm_response_without_rag,llm_response_with_rag,hallucination_label_without_rag,hallucination_label_with_rag,hallucination_type,factual_consistency_score,context_relevance_score,source_support_label,final_target_label
1,technology,Please answer briefly: What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.",Computer Processing Utility.,"According to the retrieved context, Central Processing Unit.",1,0,unsupported_claim,0.22,0.81,supported,0
2,biology,Can you answer this: What molecule carries genetic information?,DNA,DNA carries genetic information in living organisms.,It is commonly stated as RNA only.,"According to the retrieved context, DNA.",1,0,factual_error,0.14,0.76,supported,0
3,finance,What is profit?,Revenue minus costs,Profit is what remains when costs are subtracted from revenue.,The answer is A business debt.,"Using the retrieved evidence, Revenue minus costs.",1,0,factual_error,0.31,0.89,supported,0
4,technology,"Using reliable knowledge, What does URL stand for?",Uniform Resource Locator,URL stands for Uniform Resource Locator.,The answer is Uniform Resource Locator.,"Using the retrieved evidence, Uniform Resource Locator.",0,0,none,0.95,0.9,supported,0
5,technology,"Using reliable knowledge, What does HTML stand for?",HyperText Markup Language,HTML stands for HyperText Markup Language.,The answer is HyperText Markup Language.,"According to the retrieved context, HyperText Markup Language.",0,0,none,0.99,0.9,supported,0
6,geography,What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,It is Ottawa.,"Using the retrieved evidence, Ottawa.",0,0,none,0.98,0.92,supported,0
7,literature,"Using reliable knowledge, Who wrote '1984'?",George Orwell,George Orwell wrote the novel '1984'.,George Orwell.,The context supports this answer: George Orwell.,0,0,none,0.85,0.82,supported,0
8,finance,I need the correct answer: What is inflation?,A general rise in prices,Inflation is a general rise in prices over time.,A fall in prices.,"Based on the provided context, the correct answer is A general rise in prices.",1,0,contradiction,0.29,0.87,supported,0
9,literature,I need the correct answer: Who wrote '1984'?,George Orwell,George Orwell wrote the novel '1984'.,"George Orwell, but it is sometimes confused with Aldous Huxley.",The context supports this answer: George Orwell.,1,0,partially_correct,0.45,0.9,supported,0
10,geography,What is the capital of France?,Paris,Paris is the capital and most populous city of France.,It is Paris.,"Using the retrieved evidence, Paris.",0,0,none,0.99,0.94,supported,0
11,literature,Who wrote '1984'?,George Orwell,George Orwell wrote the novel '1984'.,It is commonly stated as Aldous Huxley.,"Using the retrieved evidence, George Orwell.",1,0,unsupported_claim,0.03,0.9,supported,0
12,geography,I need the correct answer: What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,It is commonly stated as Atlantic Ocean.,"Using the retrieved evidence, Pacific Ocean.",1,0,factual_error,0.33,0.76,supported,0
13,history,Please answer briefly: Which empire built the Colosseum?,The Roman Empire,The Colosseum was built during the Roman Empire.,The answer is The Roman Empire.,The context supports this answer: The Roman Empire.,0,0,none,0.95,0.9,supported,0
14,biology,"Using reliable knowledge, What gas do humans need to breathe to survive?",Oxygen,Humans need oxygen to survive.,"Oxygen, but it is sometimes confused with Carbon dioxide.","Based on the context, the answer is Helium.",1,1,contradiction,0.38,0.76,partially_supported,1
15,health,I need the correct answer: What is the normal unit used to measure body temperature?,Degrees Celsius or Fahrenheit,Body temperature is commonly measured in degrees Celsius or degrees Fahrenheit.,Degrees Celsius or Fahrenheit.,"Based on the provided context, the correct answer is Degrees Celsius or Fahrenheit.",0,0,none,0.9,0.75,supported,0
16,geography,Please answer briefly: What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,The answer is Toronto.,The context supports this answer: Ottawa.,1,0,contradiction,0.11,0.98,supported,0
17,finance,Can you answer this: What does GDP stand for?,Gross Domestic Product,"GDP stands for Gross Domestic Product, a measure of the total value of goods and services produced.",The answer is General Domestic Price.,"According to the retrieved context, Gross Domestic Product.",1,0,contradiction,0.11,0.87,supported,0
18,finance,"Using reliable knowledge, What is a recession?",A significant decline in economic activity,A recession is a significant decline in economic activity.,A short-term stock rally.,"Using the retrieved evidence, A significant decline in economic activity.",1,0,unsupported_claim,0.29,0.98,supported,0
19,physics,"Using reliable knowledge, What device measures temperature?",Thermometer,A thermometer measures temperature.,It is Thermometer.,"Using the retrieved evidence, Thermometer.",0,0,none,0.95,0.88,supported,0
20,finance,What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",It is commonly stated as A stock dividend.,"Based on the provided context, the correct answer is Borrowed money that must be repaid.",1,0,factual_error,0.31,0.77,supported,0
21,biology,What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,The answer is Oxygen.,"Based on the provided context, the correct answer is Oxygen.",0,0,none,0.99,0.83,supported,0
22,health,Please answer briefly: Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,The answer is Vitamin A.,"According to the retrieved context, Vitamin D.",1,0,unsupported_claim,0.04,0.93,supported,0
23,science,Please answer briefly: What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,It is commonly stated as The proton.,The context supports this answer: The nucleus.,1,0,contradiction,0.19,0.73,supported,0
24,biology,What is the basic unit of life?,The cell,The cell is the basic structural and functional unit of life.,It is commonly stated as The atom.,"Based on the provided context, the correct answer is The cell.",1,0,contradiction,0.07,0.73,supported,0
25,history,"Using reliable knowledge, Who wrote the Declaration of Independence?",Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,The answer is Thomas Jefferson.,"According to the retrieved context, Thomas Jefferson.",0,0,none,0.97,0.83,supported,0
26,finance,What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",The answer is Borrowed money that must be repaid.,"Using the retrieved evidence, Borrowed money that must be repaid.",0,0,none,0.86,0.72,supported,0
27,health,Can you answer this: Which nutrient is the body's main source of energy?,Carbohydrates,Carbohydrates are the body's main source of energy.,Proteins.,"Using the retrieved evidence, Carbohydrates.",1,0,factual_error,0.14,0.87,supported,0
28,literature,I need the correct answer: Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,It is William Shakespeare.,"According to the retrieved context, William Shakespeare.",0,0,none,0.95,0.83,supported,0
29,biology,I need the correct answer: What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,It is commonly stated as Helium.,"Based on the provided context, the correct answer is Oxygen.",1,0,unsupported_claim,0.07,0.79,supported,0
30,health,Which organ pumps blood through the body?,The heart,The heart pumps blood throughout the body.,"The heart, but it is sometimes confused with The liver.","According to the retrieved context, The heart.",1,0,partially_correct,0.6,0.79,supported,0
31,history,I need the correct answer: The Great Wall is primarily located in which country?,China,The Great Wall is primarily located in China.,China.,The context supports this answer: China.,0,0,none,0.9,0.73,supported,0
32,physics,Can you answer this: What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","It is commonly stated as About 3,000 km/s.","Based on the context, the answer is About 150,000 km/s.",1,1,unsupported_claim,0.15,0.76,not_supported,1
33,chemistry,What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,It is commonly stated as Go.,"According to the retrieved context, Au.",1,0,unsupported_claim,0.13,0.95,supported,0
34,technology,What is cloud computing?,Delivering computing services over the internet,Cloud computing means delivering computing services over the internet.,The answer is Delivering computing services over the internet.,"Based on the provided context, the correct answer is Delivering computing services over the internet.",0,0,none,1.0,0.77,supported,0
35,chemistry,I need the correct answer: What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,It is commonly stated as Ag.,"Using the retrieved evidence, Au.",1,0,factual_error,0.06,0.91,supported,0
36,technology,What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.",The answer is Computer Processing Utility.,"Based on the provided context, the correct answer is Central Processing Unit.",1,0,factual_error,0.16,0.79,supported,0
37,technology,Please answer briefly: What is an operating system?,Software that manages computer hardware and software,An operating system is software that manages computer hardware and software resources.,Software that manages computer hardware and software.,"Using the retrieved evidence, Software that manages computer hardware and software.",0,0,none,0.96,0.78,supported,0
38,technology,What does CPU stand for?,Central Processing Unit,"CPU stands for Central Processing Unit, the main processor in a computer.","Central Processing Unit, but it is sometimes confused with Computer Processing Utility.","According to the retrieved context, Central Processing Unit.",1,0,partially_correct,0.52,0.89,supported,0
39,health,"Using reliable knowledge, What is hypertension?",High blood pressure,Hypertension is another term for high blood pressure.,Low oxygen.,The context supports this answer: High blood pressure.,1,0,unsupported_claim,0.35,0.96,supported,0
40,biology,Please answer briefly: What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,"Oxygen, but it is sometimes confused with Nitrogen only.",The context supports this answer: Oxygen.,1,0,partially_correct,0.47,0.75,supported,0
41,physics,"Using reliable knowledge, What unit is used to measure force?",Newton,Force is measured in newtons.,The answer is Joule.,The context supports this answer: Newton.,1,0,contradiction,0.16,0.87,supported,0
42,health,Can you answer this: Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,Red blood cells.,"Based on the provided context, the correct answer is White blood cells.",1,0,contradiction,0.08,1.0,supported,0
43,physics,What unit is used to measure force?,Newton,Force is measured in newtons.,Joule.,The context supports this answer: Newton.,1,0,unsupported_claim,0.07,0.88,supported,0
44,biology,"Using reliable knowledge, What is the basic unit of life?",The cell,The cell is the basic structural and functional unit of life.,The tissue.,"According to the retrieved context, The cell.",1,0,contradiction,0.14,0.75,supported,0
45,literature,I need the correct answer: Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,The answer is William Shakespeare.,"Based on the provided context, the correct answer is William Shakespeare.",0,0,none,0.99,0.84,supported,0
46,science,What gas do plants absorb from the atmosphere?,Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,Carbon dioxide.,The context supports this answer: Carbon dioxide.,0,0,none,0.98,0.94,supported,0
47,literature,Please answer briefly: Who wrote '1984'?,George Orwell,George Orwell wrote the novel '1984'.,"George Orwell, but it is sometimes confused with Ernest Hemingway.","Based on the provided context, the correct answer is George Orwell.",1,0,partially_correct,0.54,0.81,supported,0
48,finance,Please answer briefly: What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,It is The cost of borrowing money or reward for saving.,"Based on the provided context, the correct answer is The cost of borrowing money or reward for saving.",0,0,none,0.91,0.86,supported,0
49,technology,What is an operating system?,Software that manages computer hardware and software,An operating system is software that manages computer hardware and software resources.,Software that manages computer hardware and software.,"Based on the provided context, the correct answer is Software that manages computer hardware and software.",0,0,none,0.98,0.74,supported,0
50,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,8.,"According to the retrieved context, 7.",1,0,factual_error,0.38,0.98,supported,0
51,finance,Please answer briefly: What is a recession?,A significant decline in economic activity,A recession is a significant decline in economic activity.,A significant decline in economic activity.,"According to the retrieved context, A significant decline in economic activity.",0,0,none,1.0,0.73,supported,0
52,history,I need the correct answer: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,The answer is Joan of Arc.,"Using the retrieved evidence, Joan of Arc.",0,0,none,1.0,0.9,supported,0
53,literature,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,The answer is Mark Twain.,"Using the retrieved evidence, William Shakespeare.",1,0,contradiction,0.27,0.8,supported,0
54,literature,Can you answer this: Who wrote 'The Odyssey'?,Homer,Homer is traditionally credited with writing 'The Odyssey'.,The answer is Plato.,"Based on the provided context, the correct answer is Homer.",1,0,factual_error,0.36,0.89,supported,0
55,technology,"Using reliable knowledge, What does HTML stand for?",HyperText Markup Language,HTML stands for HyperText Markup Language.,Hyperlink Text Main Language.,"Using the retrieved evidence, HyperText Markup Language.",1,0,unsupported_claim,0.03,0.93,supported,0
56,physics,"Using reliable knowledge, What device measures temperature?",Thermometer,A thermometer measures temperature.,It is Thermometer.,"Based on the provided context, the correct answer is Thermometer.",0,0,none,0.95,0.82,supported,0
57,chemistry,What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,8.,"Using the retrieved evidence, 7.",1,0,contradiction,0.25,0.86,supported,0
58,science,What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,The answer is The nucleus.,"Using the retrieved evidence, The nucleus.",0,0,none,0.99,0.98,supported,0
59,geography,I need the correct answer: Mount Everest lies on the border of Nepal and which country?,China,Mount Everest lies on the border between Nepal and China.,It is China.,"Using the retrieved evidence, China.",0,0,none,0.99,0.75,supported,0
60,science,What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,It is The nucleus.,"According to the retrieved context, The nucleus.",0,0,none,0.97,0.95,supported,0
61,geography,I need the correct answer: What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Pacific Ocean.,"Based on the provided context, the correct answer is Pacific Ocean.",0,0,none,0.99,0.86,supported,0
